_id,participant_id,group,completed,consent_given,consent_timestamp,intervention_duration_s,total_duration_s,age,gender,education,ai_tool_usage,ai_familiarity,self_assessed_ability,ai_exposure_freq,image_seed,current_phase,created_at,__v
647e810b-cdac-438d-8a01-a79f2c0552b7,a65142a1-6733-4338-b43f-ac7ab61af9bc,A,True,True,Sun Mar 01 2026 08:40:55 GMT+0000 (Coordinated Universal Time),4,309,25-34,male,doctorate,yes,3,2,sometimes,a65142a1-6733-4338-b43f-ac7ab61af9bc,5,Sun Mar 01 2026 08:40:55 GMT+0000 (Coordinated Universal Time),0
fabcaf01-7a9b-43dd-b313-b75ff307f400,21937e1a-04d7-4c7d-843c-8186ad696cd7,A,True,True,Sun Mar 01 2026 08:45:56 GMT+0000 (Coordinated Universal Time),9,944,25-34,female,high-school,yes,3,1,rarely,21937e1a-04d7-4c7d-843c-8186ad696cd7,5,Sun Mar 01 2026 08:45:56 GMT+0000 (Coordinated Universal Time),0
1a675bcb-a4fd-4a34-bc3d-0b9f950204b9,d43a96a5-051a-442b-b312-fed7168671da,C,True,True,Sun Mar 01 2026 09:13:47 GMT+0000 (Coordinated Universal Time),7,2500,25-34,female,bachelors,yes,3,4,often,d43a96a5-051a-442b-b312-fed7168671da,5,Sun Mar 01 2026 09:13:47 GMT+0000 (Coordinated Universal Time),0
3b4cc784-d70a-4270-a058-54327b1dad42,d5b7893e-9583-4346-8e7b-13713b17001a,A,True,True,Sun Mar 01 2026 09:47:02 GMT+0000 (Coordinated Universal Time),6,269,18-24,male,bachelors,yes,4,4,often,d5b7893e-9583-4346-8e7b-13713b17001a,5,Sun Mar 01 2026 09:47:02 GMT+0000 (Coordinated Universal Time),0
08fb67a9-7dad-4352-8206-f827aa6ac665,297ce686-f0eb-48dc-8188-100a44e4a674,A,True,True,Sun Mar 01 2026 09:53:49 GMT+0000 (Coordinated Universal Time),9,2500,45-54,female,some-college,yes,2,2,very-often,297ce686-f0eb-48dc-8188-100a44e4a674,5,Sun Mar 01 2026 09:53:49 GMT+0000 (Coordinated Universal Time),0
19c173cf-b5e3-4784-95ce-7e61a1f3e713,f5524fc8-c780-4e9b-97cc-4d794e161962,A,True,True,Sun Mar 01 2026 10:29:12 GMT+0000 (Coordinated Universal Time),8,266,45-54,female,some-college,yes,2,2,very-often,f5524fc8-c780-4e9b-97cc-4d794e161962,5,Sun Mar 01 2026 10:29:12 GMT+0000 (Coordinated Universal Time),0
87ebc1ab-48a4-472c-ac46-f2abd5dd7902,74d342a1-3424-4b84-b7a8-3007c5b1e472,C,True,True,Sun Mar 01 2026 10:47:51 GMT+0000 (Coordinated Universal Time),19,782,18-24,male,masters,yes,4,4,very-often,74d342a1-3424-4b84-b7a8-3007c5b1e472,5,Sun Mar 01 2026 10:47:51 GMT+0000 (Coordinated Universal Time),0
3df59f39-85da-4bf3-830a-b504916f18a3,abb9f8f7-3dff-4368-b664-2df158e53677,C,True,True,Sun Mar 01 2026 11:15:14 GMT+0000 (Coordinated Universal Time),11,1822,18-24,male,doctorate,yes,4,5,very-often,abb9f8f7-3dff-4368-b664-2df158e53677,5,Sun Mar 01 2026 11:15:14 GMT+0000 (Coordinated Universal Time),0
ae94860a-24fc-4410-b63b-2c387721a99f,bd69b4d5-abb9-4700-8c0c-f5cf5dc916a4,C,True,True,Sun Mar 01 2026 11:29:00 GMT+0000 (Coordinated Universal Time),54,1084,35-44,male,masters,yes,4,3,often,bd69b4d5-abb9-4700-8c0c-f5cf5dc916a4,5,Sun Mar 01 2026 11:29:00 GMT+0000 (Coordinated Universal Time),0
8c227cef-b1d5-4b21-98cc-00b22595d7e1,ba15d139-42e7-4ae4-9ef5-2719abe97098,C,True,True,Sun Mar 01 2026 12:26:43 GMT+0000 (Coordinated Universal Time),5,1440,25-34,male,bachelors,yes,3,3,very-often,ba15d139-42e7-4ae4-9ef5-2719abe97098,5,Sun Mar 01 2026 12:26:43 GMT+0000 (Coordinated Universal Time),0
