_id,participant_id,image_id,image_order,judgment,correct_answer,is_correct,confidence,reasoning,response_time_ms,submitted_at,__v
820c8e64-708a-41fc-874b-acb171712425,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_03,1,Real,Real,True,4,,3528,Sun Mar 01 2026 08:04:07 GMT+0000 (Coordinated Universal Time),0
bd6ac1ad-3391-43ff-b1f8-8884d99e290b,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_06,2,Real,Real,True,5,,12692,Sun Mar 01 2026 08:04:33 GMT+0000 (Coordinated Universal Time),0
42235bdd-aa22-488d-af79-0d8569963a54,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_20,3,Real,Real,True,1,,85674,Sun Mar 01 2026 08:06:05 GMT+0000 (Coordinated Universal Time),0
a0367d34-efe2-4816-9095-4fb3bc98af65,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_12,4,Real,Real,True,5,,14141,Sun Mar 01 2026 08:06:30 GMT+0000 (Coordinated Universal Time),0
d023bda0-4553-4eac-bb48-2ab517cce36e,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_02,5,Real,Real,True,3,,18530,Sun Mar 01 2026 08:07:02 GMT+0000 (Coordinated Universal Time),0
76873ac4-6ee5-4e45-926a-68ffd1a487ab,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_05,6,Real,Real,True,3,,29671,Sun Mar 01 2026 08:07:40 GMT+0000 (Coordinated Universal Time),0
2fe6a3bf-7968-4169-96d5-d2ba42470c40,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_11,7,Real,Real,True,3,,18178,Sun Mar 01 2026 08:08:05 GMT+0000 (Coordinated Universal Time),0
79e8354d-9707-4f90-b269-90e46eda01e1,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_01,8,Real,Real,True,3,,4755,Sun Mar 01 2026 08:08:21 GMT+0000 (Coordinated Universal Time),0
ac5cf10f-51d6-4a65-b373-0a18b6e3ecc3,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_15,9,Real,AI,False,3,,26603,Sun Mar 01 2026 08:08:56 GMT+0000 (Coordinated Universal Time),0
b47bb425-1033-4350-9d7c-a2b24228dab3,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_01,10,AI,AI,True,5,,58055,Sun Mar 01 2026 08:10:05 GMT+0000 (Coordinated Universal Time),0
26bba8bb-dbf7-4d1f-b7e9-cd680b8f2299,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_04,11,AI,AI,True,5,,12086,Sun Mar 01 2026 08:10:19 GMT+0000 (Coordinated Universal Time),0
c1782f3f-7ac6-497b-860a-c73c9fd4f77f,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_08,12,AI,AI,True,5,手看起来有点奇怪,16649,Sun Mar 01 2026 08:10:48 GMT+0000 (Coordinated Universal Time),0
fe4b648d-7d94-4682-9a2c-78c5b60cd77a,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_15,13,AI,Real,False,2,,18514,Sun Mar 01 2026 08:11:19 GMT+0000 (Coordinated Universal Time),0
f99452b3-6e5b-4958-b6c8-98cfc0faf832,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_04,14,Real,Real,True,5,感觉像AI生成的,6676,Sun Mar 01 2026 08:11:28 GMT+0000 (Coordinated Universal Time),0
72a7a6ab-a23e-4a1d-bfde-55ce09f7630e,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_16,15,Real,Real,True,1,,8016,Sun Mar 01 2026 08:11:47 GMT+0000 (Coordinated Universal Time),0
81b50a3a-207e-4b5f-87d1-6ecdddba168b,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_02,16,AI,AI,True,2,,4946,Sun Mar 01 2026 08:12:00 GMT+0000 (Coordinated Universal Time),0
d2aaef74-8b58-46bd-b69c-75a86e61c1cf,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_19,17,AI,AI,True,3,,51065,Sun Mar 01 2026 08:12:59 GMT+0000 (Coordinated Universal Time),0
3f242ca8-e965-4fb1-95a9-9d6de28077c9,a65142a1-6733-4338-b43f-ac7ab61af9bc,real_14,18,AI,Real,False,3,,17127,Sun Mar 01 2026 08:13:30 GMT+0000 (Coordinated Universal Time),0
f883852d-16c2-4b85-9504-590517e22ae4,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_13,19,Real,AI,False,1,,9430,Sun Mar 01 2026 08:13:43 GMT+0000 (Coordinated Universal Time),0
2027fea4-a02a-4aac-8e6a-b98221e644d7,a65142a1-6733-4338-b43f-ac7ab61af9bc,ai_09,20,AI,AI,True,4,,17969,Sun Mar 01 2026 08:14:15 GMT+0000 (Coordinated Universal Time),0
