image_id,category,n,acc,acc_pct,acc_A,acc_C,diff_C_minus_A,difficulty
real_15,Real,19,0.2631578947368421,26.3,0.5,0.091,-0.409,too_hard(≤30%)
ai_15,AI,19,0.42105263157894735,42.1,0.375,0.455,0.08,moderate
real_14,Real,19,0.42105263157894735,42.1,0.5,0.364,-0.136,moderate
ai_08,AI,19,0.47368421052631576,47.4,0.375,0.545,0.17,moderate
real_01,Real,19,0.47368421052631576,47.4,0.25,0.636,0.386,moderate
real_05,Real,19,0.5263157894736842,52.6,0.375,0.636,0.261,moderate
ai_16,AI,19,0.5263157894736842,52.6,0.25,0.727,0.477,moderate
ai_02,AI,19,0.5263157894736842,52.6,0.375,0.636,0.261,moderate
real_20,Real,19,0.5789473684210527,57.9,0.5,0.636,0.136,moderate
real_03,Real,19,0.6842105263157895,68.4,0.75,0.636,-0.114,moderate
ai_13,AI,19,0.6842105263157895,68.4,0.375,0.909,0.534,moderate
real_04,Real,19,0.6842105263157895,68.4,0.625,0.727,0.102,moderate
ai_19,AI,19,0.7368421052631579,73.7,0.5,0.909,0.409,moderate
real_11,Real,19,0.7368421052631579,73.7,0.625,0.818,0.193,moderate
real_02,Real,19,0.7894736842105263,78.9,0.75,0.818,0.068,moderate
ai_01,AI,19,0.8421052631578947,84.2,0.75,0.909,0.159,moderate
ai_04,AI,19,0.8421052631578947,84.2,0.875,0.818,-0.057,moderate
real_06,Real,19,0.8421052631578947,84.2,0.75,0.909,0.159,moderate
real_12,Real,19,0.8947368421052632,89.5,0.75,1.0,0.25,too_easy(≥85%)
ai_09,AI,19,0.8947368421052632,89.5,0.875,0.909,0.034,too_easy(≥85%)
real_16,Real,19,0.8947368421052632,89.5,0.875,0.909,0.034,too_easy(≥85%)
ai_06,AI,19,0.9473684210526315,94.7,1.0,0.909,-0.091,too_easy(≥85%)
ai_11,AI,19,0.9473684210526315,94.7,0.875,1.0,0.125,too_easy(≥85%)
ai_18,AI,19,1.0,100.0,1.0,1.0,0.0,too_easy(≥85%)
