participant_id,组别,来源,AI熟悉度,前测自评能力,AI使用频率(1-5),整体正确率,AI图正确率,真实图正确率,后测表现自评,delete
56dc546a-a002-4cab-a548-8d8c8a24ca70,A,real,2,4,4,0.81,0.556,1,5,
157cab83-abab-46ff-9516-917037893b60,A,real,1,1,2,0.286,0.333,0.25,3,
871a04a1-d2e3-48a9-96dc-fdf93b7634bd,A,real,3,3,5,0.619,0.333,0.833,2,
c8404013-34b4-433d-97d6-511b017b51c2,A,real,2,1,2,0.429,0.444,0.417,2,
ff15d97a-a13c-4097-8220-1796eca4971f,A,real,4,4,3,0.619,0.333,0.833,4,
72616102-b106-4168-a359-c28aeddf3d46,A,real,2,2,2,0.619,0.778,0.5,3,
8fe7bbf2-49ec-4bd7-bf6f-3466f6e514dd,A,real,4,3,3,0.381,0.444,0.333,2,
93f6a902-848f-4e65-80a7-23f7c5be1345,A,real,2,2,2,0.524,0.111,0.833,2,
b0f4f54b-66bd-4eac-b786-ac2d4a6740e7,A,real,1,1,1,0.524,0.111,0.833,2,
68a26c20-d416-4fb1-9a6e-1c8147b9025d,A,real,5,5,5,0.952,0.889,1,5,
35ad47e4-ed54-4633-8d71-a683a1f1117d,A,real,4,3,4,0.476,0.444,0.5,4,
9fba2754-b9e8-43f7-b4d8-77f6d9656eb3,A,real,4,3,2,0.524,0.444,0.583,3,
7cb1cf01-684b-4f4e-934d-42d2d8494a9a,A,real,4,3,4,0.571,0.444,0.667,4,
81642ecd-aa3f-47b2-a21b-a87dab1197ef,A,real,2,2,2,0.667,0.667,0.667,4,
e0ec20b4-c1ce-4a49-b377-7ca102330663,A,real,3,2,3,0.571,0.667,0.5,2,
3eff7f85-aae3-4127-a9db-c3f876c6c9e9,A,real,5,3,3,0.619,0.333,0.833,3,
b4a0305b-b2de-4bc8-be9c-c9ca9b85f025,A,real,4,4,4,0.667,0.667,0.667,3,
833b08c0-b7cf-4249-b2cb-a73bdd0b1f48,A,real,5,4,4,0.619,0.556,0.667,4,
7a150c25-4f31-47a6-a712-dd5a1078ee15,A,real,5,5,4,0.714,0.778,0.667,4,
054510ca-3eec-4fe6-8afa-226ab68b725c,A,real,4,4,3,0.619,0.667,0.583,4,
e65bf539-6dee-4810-b746-0dc326cff7dc,A,real,3,2,3,0.524,0.667,0.417,3,
f81e4f4f-f380-4e32-b4af-a2d45b818d64,A,real,4,3,4,0.619,0.667,0.583,4,
0279953e-4ca2-45e2-a4f3-39ffdffe0dd0,A,real,4,4,4,0.667,0.667,0.667,3,
6a8ca942-3de8-4ff3-8227-ca9c1733a244,A,real,4,3,3,0.524,0.667,0.417,3,
65811973-0675-42b8-8a43-5579416858b0,A,real,2,4,4,0.524,0.889,0.25,2,
f87c17b4-0b13-40ce-8bba-11e92860d635,C,real,5,5,4,0.952,1,0.917,4,
9e2c9877-ed64-431b-9516-8e3c2f8baf07,C,real,4,5,3,0.429,0.778,0.167,3,1
82f76de8-4a50-4bde-9eb9-2753908075e0,C,real,5,5,4,0.571,0.556,0.583,5,
060b4321-f0e5-437e-92ba-bde0447825f6,C,real,4,5,3,0.571,0.667,0.5,2,
d038fdf4-a659-4a48-8452-41259974b3ff,C,real,4,5,4,0.571,0.556,0.583,2,
8fc68597-ebe8-413c-bf64-2ba579dd1fd4,C,real,4,5,3,0.381,0.444,0.333,3,1
