participant_id,组别,来源,AI熟悉度,前测自评能力,AI使用频率(1-5),整体正确率,AI图正确率,真实图正确率,后测表现自评,delete,性别,年龄段,学历,AI工具使用经验,干预停留时间(秒),阅读了干预材料,阅读了策略列表,策略使用程度,注意力检测通过,mc_passed,学历分组
56dc546a-a002-4cab-a548-8d8c8a24ca70,0,0,2,4,4,0.81,0.556,1.0,5,,0.0,2,4,1,6,0,,,1.0,1,3
157cab83-abab-46ff-9516-917037893b60,0,0,1,1,2,0.286,0.333,0.25,3,,0.0,4,3,0,37,0,,,1.0,1,2
871a04a1-d2e3-48a9-96dc-fdf93b7634bd,0,0,3,3,5,0.619,0.333,0.833,2,,0.0,1,1,1,4,2,,,1.0,1,1
c8404013-34b4-433d-97d6-511b017b51c2,0,0,2,1,2,0.429,0.444,0.417,2,,1.0,1,3,0,4,0,,,1.0,1,2
ff15d97a-a13c-4097-8220-1796eca4971f,0,0,4,4,3,0.619,0.333,0.833,4,,0.0,2,4,1,4,1,,,1.0,1,3
72616102-b106-4168-a359-c28aeddf3d46,0,0,2,2,2,0.619,0.778,0.5,3,,0.0,1,4,0,4,0,,,1.0,1,3
8fe7bbf2-49ec-4bd7-bf6f-3466f6e514dd,0,0,4,3,3,0.381,0.444,0.333,2,,0.0,3,2,1,4,0,,,1.0,1,1
93f6a902-848f-4e65-80a7-23f7c5be1345,0,0,2,2,2,0.524,0.111,0.833,2,,0.0,3,2,1,4,0,,,1.0,1,1
b0f4f54b-66bd-4eac-b786-ac2d4a6740e7,0,0,1,1,1,0.524,0.111,0.833,2,,1.0,4,2,0,4,0,,,1.0,1,1
68a26c20-d416-4fb1-9a6e-1c8147b9025d,0,0,5,5,5,0.952,0.889,1.0,5,,1.0,2,5,1,4,0,,,1.0,1,3
35ad47e4-ed54-4633-8d71-a683a1f1117d,0,0,4,3,4,0.476,0.444,0.5,4,,1.0,1,3,1,5,2,,,1.0,1,2
9fba2754-b9e8-43f7-b4d8-77f6d9656eb3,0,0,4,3,2,0.524,0.444,0.583,3,,0.0,4,2,1,4,2,,,1.0,1,1
7cb1cf01-684b-4f4e-934d-42d2d8494a9a,0,0,4,3,4,0.571,0.444,0.667,4,,0.0,1,3,1,4,2,,,1.0,1,2
81642ecd-aa3f-47b2-a21b-a87dab1197ef,0,0,2,2,2,0.667,0.667,0.667,4,,0.0,4,3,0,3,2,,,1.0,1,2
e0ec20b4-c1ce-4a49-b377-7ca102330663,0,0,3,2,3,0.571,0.667,0.5,2,,1.0,1,3,1,33,0,,,1.0,1,2
3eff7f85-aae3-4127-a9db-c3f876c6c9e9,0,0,5,3,3,0.619,0.333,0.833,3,,0.0,2,3,1,4,2,,,1.0,1,2
b4a0305b-b2de-4bc8-be9c-c9ca9b85f025,0,0,4,4,4,0.667,0.667,0.667,3,,0.0,2,4,1,4,2,,,1.0,1,3
833b08c0-b7cf-4249-b2cb-a73bdd0b1f48,0,0,5,4,4,0.619,0.556,0.667,4,,1.0,1,3,1,8,0,,,1.0,1,2
7a150c25-4f31-47a6-a712-dd5a1078ee15,0,0,5,5,4,0.714,0.778,0.667,4,,1.0,1,3,1,6,2,,,1.0,1,2
054510ca-3eec-4fe6-8afa-226ab68b725c,0,0,4,4,3,0.619,0.667,0.583,4,,0.0,2,4,1,4,2,,,1.0,1,3
e65bf539-6dee-4810-b746-0dc326cff7dc,0,0,3,2,3,0.524,0.667,0.417,3,,1.0,2,4,1,4,2,,,1.0,1,3
f81e4f4f-f380-4e32-b4af-a2d45b818d64,0,0,4,3,4,0.619,0.667,0.583,4,,0.0,1,3,1,4,0,,,1.0,1,2
0279953e-4ca2-45e2-a4f3-39ffdffe0dd0,0,0,4,4,4,0.667,0.667,0.667,3,,1.0,2,3,1,9,2,,,1.0,1,2
6a8ca942-3de8-4ff3-8227-ca9c1733a244,0,0,4,3,3,0.524,0.667,0.417,3,,1.0,2,3,1,7,1,,,1.0,1,2
65811973-0675-42b8-8a43-5579416858b0,0,0,2,4,4,0.524,0.889,0.25,2,,1.0,1,3,1,6,0,,,1.0,1,2
f87c17b4-0b13-40ce-8bba-11e92860d635,1,0,5,5,4,0.952,1.0,0.917,4,,1.0,2,4,1,5,2,1.0,4.0,1.0,1,3
82f76de8-4a50-4bde-9eb9-2753908075e0,1,0,5,5,4,0.571,0.556,0.583,5,,1.0,2,3,1,4,2,1.0,4.0,1.0,1,2
060b4321-f0e5-437e-92ba-bde0447825f6,1,0,4,5,3,0.571,0.667,0.5,2,,1.0,1,3,1,26,2,1.0,4.0,1.0,1,2
d038fdf4-a659-4a48-8452-41259974b3ff,1,0,4,5,4,0.571,0.556,0.583,2,,1.0,1,4,1,55,2,1.0,4.0,1.0,1,3
eb245518-0398-4285-8a09-bd9da0a7ef2a,1,1,3,4,4,0.857,0.889,0.833,4,,1.0,2,3,1,5,2,1.0,4.0,1.0,1,2
f5b2e6dd-1c52-4d12-a6ec-351ddb62d281,1,1,3,5,5,0.81,0.889,0.75,3,,1.0,1,4,0,5,2,1.0,4.0,1.0,1,3
a1bfbe83-787b-4243-beb4-62adbc16d687,1,1,3,5,5,0.714,0.778,0.667,4,,0.0,1,4,1,14,2,1.0,3.0,1.0,1,3
4a56e17e-344c-4772-8201-8d2a699b8a61,1,1,4,4,5,0.762,0.667,0.833,4,,0.0,2,2,1,9,2,1.0,4.0,1.0,1,1
1eeb3139-42eb-48e4-b1ec-b01dc9e6d384,1,1,4,4,5,0.571,0.556,0.583,4,,1.0,3,3,1,7,2,1.0,2.0,1.0,1,2
e2e07f1d-8179-4412-945a-b10e3aea8e2a,1,0,5,4,5,0.762,0.667,0.833,3,,1.0,1,3,1,8,2,1.0,5.0,1.0,1,2
dc165136-ff71-4ab3-8e4b-5afe4edf0d1b,1,0,2,4,4,0.905,1.0,0.833,4,,0.0,1,4,1,15,2,1.0,5.0,1.0,1,3
572cc315-3457-446d-9de2-5477fb08fd31,1,0,3,4,3,0.667,0.778,0.583,4,,1.0,1,4,1,37,2,1.0,3.0,1.0,1,3
8eff7806-5802-4e73-9c65-83d7084a914f,1,0,1,4,3,0.619,0.556,0.667,4,,1.0,1,5,1,38,2,1.0,4.0,1.0,1,3
31700d1b-9dea-42f9-ac04-cbbba4bf9d45,1,0,3,4,3,0.571,0.222,0.833,2,,1.0,2,4,1,38,2,1.0,4.0,1.0,1,3
443e8258-0906-476e-83f3-794ca9a421fa,1,0,4,4,3,0.571,0.778,0.417,3,,0.0,1,3,1,8,2,1.0,3.0,1.0,1,2
93a06e6f-5a94-453a-bea6-f13a2dcecd93,1,0,5,4,3,0.619,0.667,0.583,4,,1.0,2,4,1,43,2,1.0,3.0,1.0,1,3
eb82f5c2-3642-40bb-969d-5651f118cdfa,1,0,4,4,2,0.286,0.222,0.333,4,,1.0,1,3,1,40,2,1.0,4.0,1.0,1,2
10d8137d-a2b4-4482-9378-b1a9c51a5150,1,1,4,4,5,0.714,0.667,0.75,4,,0.0,1,1,1,24,2,1.0,2.0,1.0,1,1
d17ffa1d-c836-42b8-8919-74166c3efa7c,1,1,4,4,5,0.762,0.778,0.75,3,,1.0,1,4,1,10,2,1.0,2.0,1.0,1,3
5f19ca96-956b-42ac-811a-73411f258cd0,1,1,5,4,5,0.857,0.778,0.917,4,,0.0,3,4,1,16,2,1.0,4.0,1.0,1,3
da53cc4c-0dac-44ec-8ee9-5bfd3f6cc094,0,1,3,4,5,0.81,0.778,0.833,3,,0.0,2,5,1,4,2,,,1.0,1,3
1d4f54e4-16a4-4d27-a651-2abf2087e42d,0,1,4,4,4,0.857,0.778,0.917,3,,0.0,4,3,1,6,0,,,1.0,1,2
b1ae4b31-7866-444a-8d59-c3310d967d7d,0,1,5,4,5,0.857,1.0,0.75,3,,0.0,1,3,0,5,0,,,1.0,1,2
49b70791-365c-4f01-8a9e-5f6aef742c47,0,1,4,4,5,0.476,0.556,0.417,4,,0.0,2,4,1,6,0,,,1.0,1,3
1f9cdaee-12e7-42bd-9298-eacdbbc99c6e,0,1,4,5,5,0.571,0.444,0.667,2,,0.0,3,2,1,4,0,,,1.0,1,1
8f21d525-c20e-4516-a80c-a6efc857158e,0,1,3,3,5,0.619,0.667,0.583,1,,1.0,1,4,0,6,0,,,1.0,1,3
6daa33aa-d79f-4878-9fb7-85b45d71f146,0,1,4,2,5,0.762,0.778,0.75,3,,1.0,1,2,1,6,0,,,1.0,1,1
70d96c86-c17b-45aa-9c25-d845eecf5473,1,0,4,3,5,0.81,0.889,0.75,3,,1.0,1,3,1,4,2,1.0,5.0,1.0,1,2
7bdd05f3-157f-460a-9fa7-78218f38e94a,1,0,4,3,4,0.762,0.667,0.833,2,,0.0,1,3,1,4,2,1.0,4.0,1.0,1,2
