变量,B,SE,95% CI,β,t,p,VIF
截距,0.382,0.063,"[0.257, 0.507]",—,6.050,—,—
组别（C=1）,0.052,0.029,"[-0.005, 0.110]",.333,1.807,.074,1.12
性别（女=1）,-0.066,0.029,"[-0.123, -0.008]",—,-2.275,.025*,1.12
年龄 25–34（vs 18–24）,-0.034,0.036,"[-0.106, 0.038]",—,-0.944,.347,1.33
年龄 35–44,-0.046,0.055,"[-0.156, 0.063]",—,-0.842,.402,1.13
年龄 45–54,-0.003,0.046,"[-0.094, 0.088]",—,-0.063,.950,1.36
学历 低（高中/大专 vs 本科）,0.061,0.040,"[-0.020, 0.141]",.385,1.497,.138,1.39
学历 高（硕博 vs 本科）,0.089,0.033,"[0.024, 0.155]",.568,2.715,.008**,1.40
AI使用频率（1–5）,0.020,0.014,"[-0.008, 0.047]",.125,1.419,.159,1.27
前测自评能力（1–5）,0.047,0.014,"[0.020, 0.075]",.302,3.444,< .001***,1.24
