变量,B,SE,95% CI,β,t,p,VIF
截距,-0.663,0.347,"[-1.352, 0.026]",—,-1.911,—,—
组别（C=1）,0.267,0.159,"[-0.049, 0.583]",.309,1.676,.097,1.12
性别（女=1）,-0.346,0.159,"[-0.662, -0.029]",—,-2.170,.033*,1.12
年龄 25–34（vs 18–24）,-0.194,0.199,"[-0.588, 0.201]",—,-0.973,.333,1.33
年龄 35–44,-0.287,0.303,"[-0.887, 0.314]",—,-0.947,.346,1.13
年龄 45–54,-0.021,0.252,"[-0.521, 0.479]",—,-0.084,.933,1.36
学历 低（高中/大专 vs 本科）,0.231,0.223,"[-0.211, 0.673]",.267,1.036,.303,1.39
学历 高（硕博 vs 本科）,0.491,0.181,"[0.132, 0.851]",.569,2.713,.008**,1.40
AI使用频率（1–5）,0.107,0.076,"[-0.044, 0.258]",.124,1.410,.162,1.27
前测自评能力（1–5）,0.263,0.076,"[0.113, 0.413]",.305,3.471,< .001***,1.24
