变量,B,SE,95% CI,β,t,p,VIF
截距,0.108,0.087,"[-0.065, 0.281]",—,1.237,—,—
组别（C=1）,-0.001,0.040,"[-0.080, 0.079]",-.003,-0.013,.990,1.12
性别（女=1）,0.050,0.040,"[-0.029, 0.130]",—,1.252,.214,1.12
年龄 25–34（vs 18–24）,0.092,0.050,"[-0.007, 0.192]",—,1.844,.068,1.33
年龄 35–44,0.065,0.076,"[-0.086, 0.216]",—,0.850,.397,1.13
年龄 45–54,0.045,0.063,"[-0.081, 0.170]",—,0.704,.483,1.36
学历 低（高中/大专 vs 本科）,-0.117,0.056,"[-0.229, -0.006]",-.595,-2.096,.039*,1.39
学历 高（硕博 vs 本科）,-0.043,0.046,"[-0.134, 0.047]",-.220,-0.952,.343,1.40
AI使用频率（1–5）,-0.023,0.019,"[-0.061, 0.015]",-.117,-1.206,.231,1.27
前测自评能力（1–5）,-0.012,0.019,"[-0.050, 0.026]",-.062,-0.639,.524,1.24
