变量,B,SE,Beta,t,p,VIF
(常量),0.423,0.062,,6.811,< .001,
组别（C=1）,0.071,0.025,0.227,2.790,.006**,1.094
性别（女=1）,-0.029,0.025,,-1.171,.243,1.077
年龄 25-34（vs 18-24）,0.021,0.030,,0.704,.482,1.234
年龄 35-44（vs 18-24）,-0.024,0.050,,-0.469,.640,1.155
年龄 45-54（vs 18-24）,-0.001,0.038,,-0.022,.983,1.306
学历 高中（vs 本科）,0.049,0.049,,1.014,.313,1.182
学历 大专（vs 本科）,0.016,0.038,,0.432,.666,1.360
学历 硕士（vs 本科）,0.031,0.031,,1.023,.308,1.325
学历 博士（vs 本科）,0.070,0.049,,1.427,.156,1.178
AI使用频率（1-5）,0.020,0.012,0.141,1.712,.089,1.123
前测自评能力（1-5）,0.019,0.013,0.138,1.385,.168,1.625
ai_familiarity,0.013,0.015,0.085,0.857,.393,1.608
