子群,n,B,t,p,Chow检验
性别：男,79,-0.036,-0.766,.446,"F=0.156, *p*=.855"
性别：女,73,-0.029,-0.551,.584,
年龄：≤34,120,-0.031,-0.796,.428,"F=2.694, *p*=.071"
年龄：≥35,37,0.027,0.406,.687,
学历：低（高中/大专）,35,0.028,0.380,.706,"F=0.443, *p*=.643"
学历：中（本科）,58,-0.012,-0.213,.832,
学历：中（本科）,58,-0.012,-0.213,.832,"F=0.434, *p*=.649"
学历：高（硕博）,64,-0.072,-1.415,.162,
AI频率：低,81,0.005,0.129,.898,"F=1.278, *p*=.282"
AI频率：高,76,-0.066,-1.226,.224,
前测自评：低（1–2）,52,-0.032,-0.561,.577,"F=0.065, *p*=.937"
前测自评：高（3–5）,105,-0.024,-0.569,.570,
