子群,n,B,t,p,Chow检验
性别：男,79,-0.013,-0.283,.778,"F=0.450, *p*=.638"
性别：女,73,-0.036,-0.690,.493,
*— 年龄 —*,,,,,
年龄：≤34,117,-0.018,-0.464,.644,"F=3.193, *p*=.044*"
年龄：≥35,35,0.023,0.325,.747,
*— 学历（低 vs 中） —*,,,,,
学历：低（高中/大专）,35,0.028,0.380,.706,"F=0.501, *p*=.608"
学历：中（本科）,57,-0.017,-0.287,.775,
*— 学历（中 vs 高） —*,,,,,
学历：中（本科）,57,-0.017,-0.287,.775,"F=0.512, *p*=.600"
学历：高（硕博）,60,-0.046,-0.908,.368,
*— AI使用频率 —*,,,,,
AI频率：低,79,0.008,0.193,.847,"F=1.371, *p*=.257"
AI频率：高,73,-0.052,-0.962,.339,
*— 前测自评能力 —*,,,,,
前测自评：低（1–2）,52,-0.032,-0.561,.577,"F=0.214, *p*=.807"
前测自评：高（3–5）,100,-0.009,-0.212,.832,
